<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<TICKVOL>;<VOL>;<SPREAD>
2004.04.09;12:00:00;1.21030;1.21110;1.20950;1.21020;1434;0;40
2004.04.09;16:00:00;1.21010;1.21100;1.20800;1.20900;918;0;40
2004.04.09;20:00:00;1.20910;1.21020;1.20850;1.20910;505;0;40
2004.04.12;00:00:00;1.20860;1.20950;1.20670;1.20730;1119;0;40
2004.04.12;04:00:00;1.20730;1.20790;1.20560;1.20640;1179;0;40
2004.04.12;08:00:00;1.20640;1.20880;1.20560;1.20750;1264;0;40
2004.04.12;12:00:00;1.20770;1.21000;1.20600;1.20620;1515;0;40
2004.04.12;16:00:00;1.20630;1.20800;1.20540;1.20720;1836;0;40
2004.04.12;20:00:00;1.20710;1.20870;1.20650;1.20790;1641;0;40
2004.04.13;00:00:00;1.20810;1.20840;1.20570;1.20690;1684;0;40
2004.04.13;04:00:00;1.20670;1.20800;1.20560;1.20750;1725;0;40
2004.04.13;08:00:00;1.20770;1.20790;1.19720;1.19950;2367;0;40
2004.04.13;12:00:00;1.20000;1.20130;1.19160;1.19270;2436;0;40
2004.04.13;16:00:00;1.19250;1.19450;1.19040;1.19220;2285;0;40
2004.04.13;20:00:00;1.19180;1.19550;1.19150;1.19360;1824;0;40
2004.04.14;00:00:00;1.19360;1.19520;1.19070;1.19340;1884;0;40
2004.04.14;04:00:00;1.19380;1.19430;1.18930;1.19130;1944;0;40
2004.04.14;08:00:00;1.19130;1.19620;1.18990;1.19070;2231;0;40
2004.04.14;12:00:00;1.19110;1.19410;1.18680;1.18980;2452;0;40
2004.04.14;16:00:00;1.18980;1.19590;1.18940;1.19470;2225;0;40
2004.04.14;20:00:00;1.19460;1.19770;1.19360;1.19550;1873;0;40
2004.04.15;00:00:00;1.19540;1.19700;1.19380;1.19550;1733;0;40
2004.04.15;04:00:00;1.19580;1.19750;1.19080;1.19420;2051;0;40
2004.04.15;08:00:00;1.19410;1.19960;1.19030;1.19110;2412;0;40
2004.04.15;12:00:00;1.19110;1.19590;1.18920;1.19390;2526;0;40
